#,Symbol,Signal,Entry,Exit,Reason,Alloc_EUR,Pyr_EUR,Ret%,PnL_EUR,PnL_Pyr_EUR,Hold_d,W/L
1,PFE,rsi_macd,2006-11-08,2006-11-09,ema_cross,2816,0,-3.2,-90,0,1,L
2,WMT,rsi_macd,2006-11-15,2006-11-27,ema_cross,2780,0,-2.4,-67,0,12,L
3,NESN.SW,rsi_macd,2006-11-03,2006-12-07,ema_cross,2560,0,-2.0,-50,0,34,L
4,CRM,rsi_macd,2006-12-13,2006-12-22,ema_cross,2755,0,-10.3,-284,0,9,L
5,WFC,rsi_macd,2006-12-15,2006-12-29,ema_cross,3306,0,-0.1,-4,0,14,L
6,ADBE,rsi_macd,2006-12-12,2007-01-25,ema_cross,2505,0,-2.1,-51,0,44,L
7,GOOGL,rsi_macd,2007-01-04,2007-02-13,ema_cross,3168,0,-2.1,-67,0,40,L
8,AAPL,rsi_macd,2007-01-03,2007-02-15,ema_cross,2640,0,-1.3,-33,0,43,L
9,XBI,ema_cross,2007-02-13,2007-03-05,ema_cross,3000,0,-7.4,-222,0,20,L
10,PEP,ema_cross,2007-02-20,2007-03-05,ema_cross,2686,0,-2.6,-69,0,13,L
11,GLD,ema_cross,2006-10-31,2007-05-24,ema_cross,2400,692,5.5,171,-37,205,W
12,GS,rsi_macd,2007-03-13,2007-07-11,ema_cross,2912,0,5.9,172,0,120,W
13,XLB,rsi_macd,2007-03-09,2007-08-06,ema_cross,2427,2427,-1.6,-80,-210,150,L
14,NKE,rsi_macd,2007-01-31,2007-08-16,ema_cross,2596,2596,1.7,89,-155,197,W
15,ASML,rsi_macd,2007-06-01,2007-12-24,ema_cross,562,152,14.3,102,4,206,W
16,PG,rsi_macd,2007-07-13,2008-01-16,ema_cross,638,0,11.7,75,0,187,W
17,XLP,rsi_macd,2007-08-07,2008-01-17,ema_cross,3825,0,3.4,129,0,163,W
18,AAPL,rsi_macd,2007-08-22,2008-01-18,ema_cross,4990,1185,19.4,1199,53,149,W
