#,Symbol,Signal,Entry,Exit,Reason,Alloc_EUR,Pyr_EUR,Ret%,PnL_EUR,PnL_Pyr_EUR,Hold_d,W/L
19,NKE,ema_cross,2008-05-15,2008-06-27,ema_cross,2584,0,-10.8,-279,0,43,L
20,DTE.DE,ema_cross,2008-07-04,2008-09-23,ema_cross,2528,0,-3.8,-95,0,81,L
21,CSCO,ema_cross,2009-07-17,2010-01-28,ema_cross,3532,0,11.6,409,0,195,W
22,DIS,rsi_macd,2009-06-26,2010-02-01,ema_cross,2509,839,23.2,775,85,220,W
23,DIA,rsi_macd,2009-07-14,2010-02-05,ema_cross,2676,0,21.7,580,0,206,W
24,AMD,rsi_macd,2009-07-16,2010-02-10,ema_cross,2944,0,95.9,2822,0,209,W
25,OR.PA,rsi_macd,2010-02-11,2010-05-14,ema_cross,5291,0,0.5,28,0,92,W
26,CSCO,rsi_macd,2010-02-08,2010-05-18,ema_cross,3392,0,2.4,83,0,99,W
27,NVDA,rsi_macd,2010-06-21,2010-09-15,grace_exit,3544,0,-15.9,-564,0,86,L
28,V,rsi_macd,2010-09-16,2010-12-17,ema_cross,3234,0,-2.6,-83,0,92,L
29,COST,rsi_macd,2010-07-26,2011-03-23,ema_cross,4252,768,25.8,1295,91,240,W
30,DIS,rsi_macd,2011-03-24,2011-05-20,ema_cross,5563,0,-2.3,-127,0,57,L
31,ADBE,ema_cross,2010-12-22,2011-06-08,ema_cross,2553,1321,-0.4,-15,-130,168,L
32,XLU,rsi_macd,2011-06-15,2011-08-05,ema_cross,3969,0,-2.6,-105,0,51,L
33,NFLX,rsi_macd,2010-01-29,2011-08-08,ema_cross,3189,0,261.1,8327,0,556,W
34,NFLX,ema_cross,2010-02-01,2011-08-08,ema_cross,3936,1256,255.0,13239,2748,553,W
35,GOOGL,rsi_macd,2011-06-01,2011-08-22,ema_cross,4405,943,-8.0,-426,-177,82,L
36,AVGO,rsi_macd,2011-12-05,2012-04-27,ema_cross,8273,0,10.6,878,0,144,W
37,GS,ema_cross,2011-10-27,2012-05-01,ema_cross,7756,0,5.3,407,0,187,W
38,BAC,rsi_macd,2011-12-06,2012-05-04,ema_cross,9101,2594,31.1,3636,452,150,W
39,BAC,rsi_macd,2011-12-23,2012-05-04,ema_cross,10921,130,39.6,4376,23,133,W
40,NVDA,rsi_macd,2012-05-14,2012-07-11,ema_cross,14345,0,-3.7,-536,0,58,L
41,SOXX,rsi_macd,2012-04-27,2012-07-24,grace_exit,7327,0,-13.1,-961,0,88,L
42,TSLA,rsi_macd,2012-08-08,2012-09-25,ema_cross,5145,0,-7.5,-385,0,48,L
43,DTE.DE,rsi_macd,2012-05-09,2012-10-18,ema_cross,10867,10867,7.2,1569,-37,162,W
44,DTE.DE,rsi_macd,2012-05-11,2012-10-18,ema_cross,11954,1240,11.4,1510,-38,160,W
45,AMZN,rsi_macd,2012-10-18,2012-10-24,ema_cross,15687,0,-7.8,-1220,0,6,L
46,XLU,rsi_macd,2012-09-25,2012-11-06,ema_cross,4837,0,-2.1,-100,0,42,L
47,LQD,rsi_macd,2012-11-19,2013-01-17,ema_cross,7438,0,-0.2,-18,0,59,L
48,UNH,ema_cross,2013-01-23,2013-03-04,ema_cross,6010,0,-5.0,-299,0,40,L
49,META,rsi_macd,2012-10-25,2013-03-13,ema_cross,15199,0,16.3,2472,0,139,W
50,META,ema_cross,2012-10-26,2013-03-13,ema_cross,18239,1766,19.4,3880,71,138,W
51,CRM,ema_cross,2013-03-04,2013-04-09,ema_cross,4629,0,-9.2,-424,0,36,L
52,USO,ema_cross,2013-03-27,2013-04-11,ema_cross,20503,0,-2.4,-484,0,15,L
53,XLB,rsi_macd,2013-04-10,2013-04-17,ema_cross,7465,0,-4.0,-299,0,7,L
54,CSCO,ema_cross,2013-04-11,2013-05-02,ema_cross,17508,0,-2.8,-492,0,21,L
55,SIE.DE,rsi_macd,2013-05-03,2013-06-13,ema_cross,15459,0,-0.3,-45,0,41,L
56,AAPL,rsi_macd,2013-03-18,2013-06-14,ema_cross,17086,0,-1.9,-331,0,88,L
57,PG,ema_cross,2012-07-16,2013-06-24,ema_cross,5222,1427,18.6,1235,66,343,W
58,OR.PA,rsi_macd,2013-06-18,2013-06-24,ema_cross,12945,0,-5.4,-703,0,6,L
59,OR.PA,rsi_macd,2013-06-27,2013-07-29,ema_cross,9604,0,0.0,4,0,32,W
60,OR.PA,rsi_macd,2013-08-02,2013-08-23,ema_cross,9991,0,-1.9,-187,0,21,L
61,MSFT,ema_cross,2013-08-27,2013-09-24,ema_cross,7943,0,-3.2,-253,0,28,L
62,NKE,rsi_macd,2013-06-19,2014-01-21,ema_cross,15534,1838,17.6,3063,43,216,W
63,AAPL,rsi_macd,2013-07-03,2014-01-30,ema_cross,11525,2373,16.9,2354,23,211,W
64,AAPL,rsi_macd,2013-09-24,2014-01-30,ema_cross,7740,0,1.6,122,0,128,W
65,AIR.PA,rsi_macd,2013-04-18,2014-02-13,ema_cross,9234,3672,30.6,3950,673,301,W
66,MC.PA,rsi_macd,2014-01-22,2014-03-14,ema_cross,16426,0,-2.0,-324,0,51,L
67,XOM,rsi_macd,2014-02-18,2014-03-14,ema_cross,16194,0,-0.6,-103,0,24,L
68,ABBV,rsi_macd,2014-02-03,2014-04-11,ema_cross,11288,0,-5.1,-577,0,67,L
69,PFE,ema_cross,2014-02-06,2014-04-11,ema_cross,13546,0,-2.8,-375,0,64,L
70,AIR.PA,rsi_macd,2014-03-20,2014-06-24,ema_cross,17396,0,-3.2,-558,0,96,L
71,SIE.DE,rsi_macd,2014-03-18,2014-07-08,ema_cross,14497,0,0.3,48,0,112,W
72,AMD,ema_cross,2014-07-01,2014-07-24,ema_cross,16180,0,-11.4,-1844,0,23,L
73,PG,ema_cross,2014-07-10,2014-07-31,ema_cross,14872,0,-4.1,-610,0,21,L
74,XLY,rsi_macd,2014-04-22,2014-10-06,ema_cross,13551,0,4.5,616,0,167,W
75,XBI,rsi_macd,2014-07-24,2014-10-14,ema_cross,14443,0,-2.3,-339,0,82,L
76,HYG,rsi_macd,2014-10-06,2014-11-19,ema_cross,11477,0,-0.7,-82,0,44,L
77,HYG,rsi_macd,2014-10-20,2014-11-19,ema_cross,13579,0,-0.2,-28,0,30,L
78,MS,rsi_macd,2014-04-21,2015-01-23,ema_cross,11293,3396,10.9,1600,-43,277,W
79,BTC-USD,ema_cross,2014-11-25,2015-01-24,grace_exit,5617,0,-34.2,-1922,0,60,L
80,BRK-B,ema_cross,2014-08-06,2015-03-05,ema_cross,14298,14298,6.6,1881,-140,211,W
81,ARKK,ema_cross,2015-01-26,2015-07-09,ema_cross,5831,0,1.0,56,0,164,W
82,IWM,ema_cross,2014-12-18,2015-07-27,ema_cross,6740,0,2.9,196,0,221,W
83,MS,ema_cross,2015-03-16,2015-08-14,ema_cross,25548,0,4.9,1259,0,151,W
84,XLF,rsi_macd,2015-01-23,2015-08-24,ema_cross,14378,0,-5.0,-716,0,213,L
85,TSLA,rsi_macd,2015-08-18,2015-10-05,ema_cross,22948,0,-3.6,-829,0,48,L
86,IEF,ema_cross,2015-07-09,2015-11-09,ema_cross,9820,0,0.2,23,0,123,W
87,SIE.DE,ema_cross,2015-10-23,2015-12-21,ema_cross,16607,0,0.3,42,0,59,W
88,XLV,ema_cross,2015-10-28,2016-01-11,ema_cross,19929,0,-4.6,-922,0,75,L
89,AMD,rsi_macd,2015-07-30,2016-01-21,ema_cross,7513,4733,1.7,205,-375,175,W
90,WMT,rsi_macd,2015-11-18,2016-05-18,ema_cross,8074,8074,0.6,102,-514,182,W
91,V,ema_cross,2016-03-21,2016-06-27,ema_cross,10433,0,-0.1,-16,0,98,L
92,NKE,rsi_macd,2016-06-30,2016-07-29,ema_cross,10955,0,0.4,42,0,29,W
93,BTC-USD,rsi_macd,2016-02-13,2016-08-04,ema_cross,14077,2478,47.1,7792,708,173,W
94,DIS,rsi_macd,2016-08-10,2016-11-03,grace_exit,17030,0,-3.4,-586,0,85,L
95,XLE,rsi_macd,2015-12-24,2017-02-08,ema_cross,14934,4045,15.2,2879,112,412,W
96,DIS,ema_cross,2016-11-04,2017-05-16,ema_cross,13164,3126,13.4,2179,24,193,W
97,NFLX,ema_cross,2016-08-08,2017-07-05,ema_cross,14192,202,53.5,7697,50,331,W
98,NESN.SW,ema_cross,2017-02-09,2017-08-25,ema_cross,17618,4346,9.2,2024,-126,197,W
99,USO,rsi_macd,2017-05-16,2017-08-29,ema_cross,18299,0,-7.4,-1360,0,105,L
100,PEP,rsi_macd,2017-07-10,2017-09-19,ema_cross,17856,0,-0.5,-97,0,71,L
101,DTE.DE,rsi_macd,2017-09-20,2017-10-17,ema_cross,18565,0,-2.1,-383,0,27,L
102,SLV,ema_cross,2017-10-17,2017-10-18,ema_cross,913,0,-0.3,-3,0,1,L
103,LLY,rsi_macd,2017-08-31,2017-11-20,ema_cross,18156,0,3.6,660,0,81,W
104,NFLX,ema_cross,2017-09-01,2017-12-12,ema_cross,21787,21682,-0.7,-295,-1557,102,L
105,LLY,ema_cross,2017-11-28,2018-02-02,ema_cross,15235,0,-4.6,-696,0,66,L
106,UNH,ema_cross,2017-10-18,2018-03-22,ema_cross,911,911,-1.7,-31,-89,155,L
107,SOXX,rsi_macd,2016-05-19,2018-04-06,ema_cross,13103,2602,96.0,15076,1906,687,W
108,ASML,rsi_macd,2017-12-12,2018-04-30,ema_cross,37587,8062,6.7,3053,-593,139,W
109,GLD,ema_cross,2018-03-26,2018-05-01,ema_cross,3826,0,-3.4,-130,0,36,L
110,CSCO,rsi_macd,2018-02-13,2018-06-25,ema_cross,11970,6697,0.4,77,-552,132,W
111,XLB,rsi_macd,2018-04-06,2018-06-28,ema_cross,25390,0,1.4,349,0,83,W
112,ASML,rsi_macd,2018-05-04,2018-07-03,ema_cross,28198,0,0.1,32,0,60,W
113,BTC-USD,rsi_macd,2018-07-03,2018-08-10,ema_cross,23116,6588,-9.3,-2750,-1307,38,L
114,USO,rsi_macd,2018-06-25,2018-08-17,ema_cross,15277,0,-2.3,-349,0,53,L
115,DTE.DE,rsi_macd,2018-07-04,2018-09-11,ema_cross,27739,0,1.5,411,0,69,W
116,SMH,ema_cross,2018-08-28,2018-10-05,ema_cross,20112,0,-6.4,-1293,0,38,L
117,MC.PA,rsi_macd,2018-09-13,2018-10-09,ema_cross,26542,0,-1.6,-411,0,26,L
118,NFLX,rsi_macd,2018-08-27,2018-10-11,ema_cross,16760,0,-12.5,-2101,0,45,L
119,COST,rsi_macd,2018-10-15,2018-10-26,ema_cross,16722,0,-3.6,-595,0,11,L
120,AAPL,rsi_macd,2018-05-02,2018-11-06,ema_cross,23498,329,16.9,4034,6,188,W
121,INTC,ema_cross,2018-10-05,2018-12-21,ema_cross,20363,0,-6.4,-1312,0,77,L
122,XLU,ema_cross,2018-10-09,2018-12-31,ema_cross,24977,0,-1.2,-305,0,83,L
123,ABBV,rsi_macd,2018-11-08,2019-01-14,ema_cross,19267,0,-1.5,-294,0,67,L
124,DTE.DE,rsi_macd,2019-02-06,2019-07-22,ema_cross,20087,0,6.3,1267,0,166,W
125,OR.PA,rsi_macd,2019-01-21,2019-08-05,ema_cross,18261,5725,14.1,3381,176,196,W
126,XLY,rsi_macd,2019-08-09,2019-08-15,ema_cross,25312,0,-3.7,-948,0,6,L
127,BTC-USD,ema_cross,2019-02-18,2019-08-29,ema_cross,24104,0,159.0,38319,0,192,W
128,AMD,rsi_macd,2018-11-28,2019-09-10,ema_cross,23121,286,38.2,8948,40,286,W
129,MS,rsi_macd,2019-08-30,2019-10-03,ema_cross,54849,0,-3.4,-1881,0,34,L
130,GS,ema_cross,2019-09-10,2019-10-07,ema_cross,36854,0,-6.1,-2260,0,27,L
131,WMT,rsi_macd,2019-08-16,2020-01-10,ema_cross,24554,0,2.5,607,0,147,W
132,SIE.DE,rsi_macd,2019-07-24,2020-02-14,ema_cross,17095,552,8.0,1414,-33,205,W
133,GS,rsi_macd,2019-10-14,2020-02-26,ema_cross,46452,0,6.5,2999,0,135,W
134,UNH,rsi_macd,2019-10-11,2020-02-28,ema_cross,38710,11032,9.4,4680,-535,140,W
135,DTE.DE,rsi_macd,2020-01-10,2020-03-09,ema_cross,20152,0,-7.8,-1571,0,59,L
136,WMT,ema_cross,2020-02-19,2020-06-15,ema_cross,19279,0,-0.3,-61,0,117,L
137,LLY,ema_cross,2020-06-01,2020-08-10,ema_cross,37334,0,-1.0,-355,0,70,L
138,WFC,rsi_macd,2020-05-27,2020-08-20,grace_exit,33940,33940,-20.3,-13809,-8986,85,L
139,BTC-USD,rsi_macd,2020-07-07,2020-09-11,ema_cross,19814,4706,8.0,1965,-263,66,W
140,PFE,rsi_macd,2020-07-02,2020-09-23,ema_cross,16512,0,5.0,826,0,83,W
141,DTE.DE,rsi_macd,2020-08-10,2020-09-25,ema_cross,29781,0,-4.9,-1466,0,46,L
142,LQD,rsi_macd,2020-08-21,2020-10-02,ema_cross,49213,0,-0.6,-318,0,42,L
143,MS,rsi_macd,2020-10-06,2020-10-30,ema_cross,44449,0,-1.4,-626,0,24,L
144,AMZN,rsi_macd,2020-09-23,2020-11-16,ema_cross,20076,0,0.3,68,0,54,W
145,PEP,ema_cross,2020-10-01,2021-01-25,ema_cross,26667,0,1.2,332,0,116,W
146,DTE.DE,rsi_macd,2020-11-05,2021-02-19,ema_cross,35503,0,6.8,2429,0,106,W
147,BTC-USD,rsi_macd,2020-09-15,2021-05-14,ema_cross,31030,10557,347.3,144446,30564,241,W
148,OR.PA,rsi_macd,2021-01-27,2021-09-27,ema_cross,26243,7269,21.6,7234,576,243,W
149,NESN.SW,rsi_macd,2021-03-05,2021-09-27,ema_cross,30608,30608,8.5,5214,277,206,W
150,GS,rsi_macd,2021-09-28,2021-10-04,ema_cross,43004,0,-6.6,-2823,0,6,L
151,CSCO,ema_cross,2020-11-16,2021-10-05,ema_cross,23216,6233,30.6,9026,934,323,W
152,XLK,rsi_macd,2021-05-17,2021-10-06,ema_cross,149132,6341,11.6,18074,-136,142,W
153,MRK,rsi_macd,2021-09-30,2021-12-02,ema_cross,51605,25381,-6.8,-5233,-4080,63,L
154,HYG,rsi_macd,2021-12-03,2022-01-19,ema_cross,58471,0,-0.2,-114,0,47,L
155,XLB,rsi_macd,2021-10-08,2022-01-26,ema_cross,106867,0,1.3,1368,0,110,W
156,XLU,rsi_macd,2021-10-07,2022-02-11,ema_cross,89056,0,2.8,2488,0,127,W
157,AAPL,rsi_macd,2022-01-31,2022-02-28,ema_cross,96042,0,-2.8,-2725,0,28,L
158,DTE.DE,rsi_macd,2022-01-19,2022-03-02,ema_cross,47270,0,1.0,469,0,42,W
159,NVDA,ema_cross,2022-03-22,2022-04-11,ema_cross,90327,0,-18.0,-16249,0,20,L
160,ABBV,rsi_macd,2021-10-04,2022-05-24,ema_cross,42466,13887,36.7,20693,3166,232,W
161,HYG,rsi_macd,2022-03-18,2022-06-14,grace_exit,68430,0,-9.3,-6369,0,88,L
162,META,rsi_macd,2022-03-21,2022-06-15,grace_exit,75272,0,-21.0,-15838,0,86,L
163,OR.PA,rsi_macd,2022-05-30,2022-09-16,ema_cross,69482,0,3.2,2252,0,109,W
164,BTC-USD,rsi_macd,2022-09-10,2022-11-09,ema_cross,60191,0,-25.7,-15469,0,60,L
165,AMZN,ema_cross,2023-01-17,2023-03-01,ema_cross,66172,0,-6.6,-4364,0,43,L
166,COST,ema_cross,2023-01-24,2023-03-06,ema_cross,31281,0,-1.7,-517,0,41,L
167,TSLA,rsi_macd,2022-12-01,2023-04-21,ema_cross,56397,0,-16.2,-9153,0,141,L
168,ADBE,rsi_macd,2023-03-06,2023-05-09,ema_cross,40157,0,-0.5,-196,0,64,L
169,INTC,rsi_macd,2023-05-01,2023-05-25,ema_cross,38276,0,-11.6,-4425,0,24,L
170,QCOM,rsi_macd,2023-05-30,2023-08-16,ema_cross,27477,6526,-5.7,-1936,-1077,78,L
171,PLTR,rsi_macd,2023-05-10,2023-09-21,ema_cross,39624,9411,38.7,18978,1595,134,W
172,AVGO,rsi_macd,2023-08-22,2023-09-26,ema_cross,25928,0,-6.0,-1566,0,35,L
173,NVDA,ema_cross,2023-01-13,2023-09-29,ema_cross,60156,60156,149.2,179464,78850,259,W
174,NKE,rsi_macd,2023-10-02,2023-10-27,ema_cross,135615,0,1.8,2508,0,25,W
175,PFE,rsi_macd,2023-10-03,2023-12-28,grace_exit,162738,0,-13.8,-22410,0,86,L
176,UNH,ema_cross,2023-09-22,2024-01-18,ema_cross,59596,0,3.8,2280,0,118,W
177,NESN.SW,rsi_macd,2024-01-04,2024-03-28,grace_exit,113693,0,-3.1,-3475,0,84,L
178,UBER,rsi_macd,2023-11-01,2024-04-24,ema_cross,143046,33974,56.2,99434,13112,175,W
179,ASML,rsi_macd,2024-01-18,2024-05-01,ema_cross,72240,17157,14.4,12842,-254,104,W
180,UNH,rsi_macd,2024-04-17,2024-06-20,ema_cross,88897,0,1.7,1481,0,64,W
181,LLY,rsi_macd,2023-03-14,2024-08-05,ema_cross,48189,11445,135.4,80732,12498,510,W
182,XLU,rsi_macd,2024-06-21,2024-12-17,ema_cross,98218,1334,10.9,10850,-55,179,W
183,TSLA,ema_cross,2024-05-01,2025-02-14,ema_cross,129579,23327,90.5,138309,14589,289,W
184,OR.PA,ema_cross,2024-12-18,2025-02-18,ema_cross,88378,0,-0.9,-781,0,62,L
185,SHOP,rsi_macd,2024-08-08,2025-03-10,ema_cross,112342,26681,40.6,56447,6609,214,W
186,SAP,rsi_macd,2024-04-24,2025-04-04,ema_cross,238943,1166,33.4,80128,202,345,W
187,MC.PA,rsi_macd,2025-05-13,2025-08-05,grace_exit,141214,0,-14.2,-20033,0,84,L
188,BTC-USD,rsi_macd,2025-03-03,2025-08-29,ema_cross,160362,1677,14.9,24068,-19,179,W
189,BTC-USD,rsi_macd,2025-03-06,2025-08-29,ema_cross,192435,192435,11.6,44574,6816,176,W
190,PFE,rsi_macd,2025-08-06,2025-09-22,ema_cross,97016,0,-2.6,-2515,0,47,L
191,ORCL,rsi_macd,2025-09-08,2025-11-06,ema_cross,307107,72938,-3.5,-13462,-19007,59,L
192,MSFT,rsi_macd,2025-03-24,2025-11-14,ema_cross,194863,33538,27.1,61891,4472,235,W
193,NKE,rsi_macd,2025-10-02,2025-12-29,grace_exit,78672,0,-17.9,-14050,0,88,L
194,NESN.SW,ema_cross,2025-09-05,2026-01-06,ema_cross,255922,0,0.1,336,0,123,W
195,ARKK,rsi_macd,2026-01-06,2026-01-27,ema_cross,227108,0,-2.0,-4628,0,21,L
196,NKE,rsi_macd,2025-11-14,2026-02-12,grace_exit,294034,0,-5.3,-15614,0,90,L
197,WMT,rsi_macd,2025-11-10,2026-03-13,end_of_data,309001,53938,21.6,78416,3947,123,W
198,NKE,rsi_macd,2026-01-02,2026-03-13,end_of_data,110505,0,-15.1,-16676,0,70,L
199,CSCO,rsi_macd,2026-01-27,2026-03-13,end_of_data,180255,0,1.5,2661,0,45,W
200,MC.PA,rsi_macd,2026-02-23,2026-03-13,end_of_data,258787,0,-14.6,-37695,0,18,L
