symbol,signal,entry_ts,entry_px,exit_ts,exit_px,exit_reason,is_leaps,hv_rank,strike,iv,iv_source,entry_premium,exit_premium,delta_entry,leverage,alloc,pyr_alloc,pyramided,pnl,closed
AMD,rsi_macd,2021-12-16,147.0,2022-01-21,120.14,ema_cross,False,100.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2400.0,0.0,False,-439.32,True
BAC,rsi_macd,2021-12-17,39.97069507748405,2022-03-01,39.26119270072993,ema_cross,True,22.8,37.97,0.297,bs_hv,6.46,5.36,0.676,6.2,2559.74,0.0,False,-435.83,True
TSLA,rsi_macd,2021-12-23,335.59999999999997,2022-01-26,317.47670000000005,ema_cross,False,73.1,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2814.69,2814.69,True,-734.25,True
GM,ema_cross,2022-01-05,63.06649843799808,2022-01-25,49.66773410404625,ema_cross,False,69.3,0.0,0.0,n/a,0.0,0.0,0.0,1.0,1124.08,0.0,False,-239.17,True
AAPL,rsi_macd,2022-01-31,166.50795633367662,2022-03-01,161.37047647058824,ema_cross,False,69.2,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2139.01,0.0,False,-66.83,True
QCOM,rsi_macd,2022-02-01,160.31555750014113,2022-02-22,149.06693942974263,ema_cross,False,100.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2352.57,0.0,False,-165.94,True
UNH,ema_cross,2022-02-04,446.8406982014612,2022-05-13,447.4466570457355,ema_cross,False,83.9,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2822.34,0.0,False,2.7,True
C,rsi_macd,2022-12-13,41.78200386349002,2022-12-16,39.42263755355129,ema_cross,False,49.8,0.0,0.0,n/a,0.0,0.0,0.0,1.0,1982.44,0.0,False,-112.69,True
NVDA,ema_cross,2023-01-13,16.260854109710635,2023-10-02,43.99922560403734,ema_cross,True,12.2,15.45,0.708,bs_hv,5.04,28.73,0.685,3.2,1959.75,1959.75,True,15809.05,True
V,rsi_macd,2023-03-06,218.89352543770676,2023-06-09,219.03625315798888,ema_cross,True,0.8,207.95,0.209,bs_hv,28.58,25.15,0.706,7.7,1566.75,0.0,False,-189.48,True
INTC,rsi_macd,2023-05-01,30.36418138613861,2023-05-26,26.891862344827587,ema_cross,True,27.3,28.85,0.449,bs_hv,6.58,4.25,0.666,4.6,1722.8,0.0,False,-611.62,True
GOOG,ema_cross,2023-07-14,124.1110416229117,2023-11-01,124.3193588461237,ema_cross,True,4.1,117.91,0.326,bs_hv,21.36,18.33,0.671,5.8,1352.25,0.0,False,-192.99,True
JNJ,rsi_macd,2023-07-21,154.96820056407546,2023-09-07,147.70306176341933,ema_cross,False,67.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,1486.93,0.0,False,-70.28,True
AVGO,rsi_macd,2023-08-22,84.55591423246356,2023-09-27,79.74557944442404,ema_cross,False,95.6,0.0,0.0,n/a,0.0,0.0,0.0,1.0,1783.84,0.0,False,-102.15,True
LLY,rsi_macd,2023-10-09,554.2630932279277,2024-08-06,779.6099888650748,ema_cross,False,100.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,6205.9,6205.9,True,3751.78,True
AAPL,rsi_macd,2024-01-19,187.38332862810609,2024-02-15,181.89459583378658,ema_cross,True,19.0,180.0,0.235,eodhd_real,28.46,20.95,0.716,6.6,4859.47,0.0,False,-1285.89,True
MU,rsi_macd,2024-02-23,85.90037180232558,2024-07-24,110.83694177548058,ema_cross,False,44.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2859.7,2859.7,True,875.04,True
SMCI,rsi_macd,2024-04-17,99.2008,2024-05-03,76.9999901622601,ema_cross,False,80.4,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2000.88,0.0,False,-448.41,True
BAC,ema_cross,2024-04-22,35.31386694937716,2024-08-09,36.642472100313476,ema_cross,True,22.3,35.0,0.276,eodhd_real,5.3,4.6,0.687,6.7,2400.41,0.0,False,-319.12,True
QCOM,ema_cross,2024-05-03,174.5698710309508,2024-07-29,174.57345443349755,ema_cross,False,77.7,0.0,0.0,n/a,0.0,0.0,0.0,1.0,1720.13,429.35,True,-58.19,True
AMZN,rsi_macd,2024-08-01,189.285,2025-03-03,213.352,ema_cross,True,15.6,180.0,0.344,eodhd_real,21.28,25.23,0.625,8.9,3474.22,3474.22,True,-889.9,True
COST,rsi_macd,2024-08-09,831.903848385248,2025-01-17,923.9100722017832,ema_cross,False,53.9,0.0,0.0,n/a,0.0,0.0,0.0,1.0,6254.07,0.0,False,688.9,True
WMT,rsi_macd,2024-08-13,67.43915609863498,2025-03-13,84.13462807100592,ema_cross,False,80.7,0.0,0.0,n/a,0.0,0.0,0.0,1.0,6878.47,2059.69,True,1863.66,True
TSLA,ema_cross,2024-09-06,232.6,2025-02-18,355.01,ema_cross,False,100.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,8251.97,3464.45,True,3755.84,True
JPM,rsi_macd,2025-03-03,258.6954861484153,2025-03-12,229.29833523475207,ema_cross,False,39.8,0.0,0.0,n/a,0.0,0.0,0.0,1.0,5741.18,0.0,False,-654.44,True
UBER,ema_cross,2025-03-24,76.97,2025-04-08,69.31,ema_cross,False,71.8,0.0,0.0,n/a,0.0,0.0,0.0,1.0,6334.9,0.0,False,-632.73,True
V,rsi_macd,2025-06-25,348.41597707524767,2025-08-01,342.10283082363344,ema_cross,False,100.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,6207.85,0.0,False,-114.92,True
MA,rsi_macd,2025-07-01,556.9911262854006,2025-07-17,551.4226070373104,ema_cross,False,98.8,0.0,0.0,n/a,0.0,0.0,0.0,1.0,6621.04,0.0,False,-68.82,True
PFE,rsi_macd,2025-08-06,23.85337985791893,2025-09-23,23.292804807293827,ema_cross,False,56.6,0.0,0.0,n/a,0.0,0.0,0.0,1.0,6170.07,0.0,False,-147.41,True
AAPL,ema_cross,2025-08-07,218.21598872880972,2026-01-14,259.24743933682106,ema_cross,True,21.1,205.0,0.274,eodhd_real,26.25,55.25,0.716,8.3,6580.75,6020.5,True,7067.81,True
MU,ema_cross,2025-08-12,124.57163953033267,2026-03-16,446.16,end_of_data,True,2.8,120.0,0.471,eodhd_real,20.7,321.88,0.659,6.0,7236.2,2165.94,True,122691.49,True
CSCO,rsi_macd,2025-08-27,67.5484551724138,2026-03-16,78.92,end_of_data,False,33.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,8677.65,8677.65,True,1479.78,True
TSLA,rsi_macd,2026-01-23,447.43,2026-01-30,425.35,ema_cross,True,3.4,425.06,0.533,bs_hv,110.68,95.33,0.669,4.0,7865.22,0.0,False,-1097.48,True
WFC,rsi_macd,2026-01-30,89.76876952149408,2026-02-23,88.17,ema_cross,True,10.6,85.0,0.307,eodhd_real,13.6,11.53,0.647,6.6,3950.63,0.0,False,-604.66,True
GE,rsi_macd,2026-02-02,305.15542431408124,2026-03-16,303.77,end_of_data,False,45.9,0.0,0.0,n/a,0.0,0.0,0.0,1.0,4737.6,0.0,False,-23.4,True
GOOGL,rsi_macd,2026-02-23,318.8255823461427,2026-03-04,302.6769687988652,ema_cross,True,18.2,305.0,0.364,eodhd_real,49.55,41.9,0.624,6.4,3622.78,0.0,False,-562.38,True
