symbol,signal,entry_ts,entry_px,exit_ts,exit_px,exit_reason,is_leaps,hv_rank,strike,iv,iv_source,entry_premium,exit_premium,delta_entry,leverage,alloc,pyr_alloc,pyramided,pnl,closed
V,rsi_macd,2019-09-27,168.727174137931,2019-10-01,165.2132033851627,ema_cross,False,37.4,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2014.68,0.0,False,-42.75,True
AMD,rsi_macd,2020-09-22,78.365,2021-02-24,84.33,ema_cross,False,63.1,0.0,0.0,n/a,0.0,0.0,0.0,1.0,3653.72,3653.72,True,-53.25,True
AMZN,rsi_macd,2020-09-23,156.02155200957642,2020-11-17,159.17725,ema_cross,False,68.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,3896.91,0.0,False,77.23,True
NFLX,rsi_macd,2020-10-30,50.20099999999999,2020-11-04,49.536,ema_cross,False,58.9,0.0,0.0,n/a,0.0,0.0,0.0,1.0,4285.98,0.0,False,-58.47,True
MSFT,ema_cross,2020-11-06,212.2260120954765,2022-01-14,293.7166923758865,ema_cross,False,36.2,0.0,0.0,n/a,0.0,0.0,0.0,1.0,4261.91,4261.91,True,2469.07,True
DIS,ema_cross,2020-11-10,136.7496361128703,2021-05-07,177.81264120320276,ema_cross,True,26.9,129.91,0.411,bs_hv,27.78,53.34,0.666,4.9,5112.92,1592.08,True,4553.56,True
PYPL,ema_cross,2021-04-09,261.5814554635079,2021-05-14,242.72127745259655,ema_cross,False,30.4,0.0,0.0,n/a,0.0,0.0,0.0,1.0,1195.59,0.0,False,-86.65,True
AAL,rsi_macd,2021-04-27,22.01,2021-07-01,21.47,ema_cross,True,3.6,20.91,0.646,bs_hv,6.34,5.44,0.679,3.5,1434.33,1434.33,True,-778.77,True
NVDA,rsi_macd,2021-05-21,15.125668042423333,2022-01-20,25.253706335403727,ema_cross,True,27.3,14.37,0.548,bs_hv,3.83,11.15,0.67,4.0,5089.86,84.07,True,9823.36,True
ADBE,ema_cross,2021-05-26,506.27,2021-10-04,574.59,ema_cross,True,8.3,480.96,0.339,bs_hv,89.62,124.22,0.67,5.6,6103.76,2089.8,True,1947.47,True
AMD,rsi_macd,2021-12-16,147.0,2022-01-21,120.14,ema_cross,False,100.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,4055.58,0.0,False,-742.37,True
BAC,rsi_macd,2021-12-17,39.97069507748405,2022-03-01,39.26119270072993,ema_cross,True,22.8,37.97,0.297,bs_hv,6.46,5.36,0.676,6.2,4865.4,0.0,False,-828.39,True
AAPL,rsi_macd,2022-01-31,166.50795633367662,2022-03-01,161.37047647058824,ema_cross,False,69.2,0.0,0.0,n/a,0.0,0.0,0.0,1.0,8137.3,0.0,False,-254.22,True
QCOM,rsi_macd,2022-02-01,160.31555750014113,2022-02-22,149.06693942974263,ema_cross,False,100.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,8949.73,0.0,False,-631.29,True
UNH,ema_cross,2022-02-04,446.8406982014612,2022-05-13,447.4466570457355,ema_cross,False,83.9,0.0,0.0,n/a,0.0,0.0,0.0,1.0,10736.81,0.0,False,10.26,True
C,rsi_macd,2022-12-13,41.78200386349002,2022-12-16,39.42263755355129,ema_cross,False,49.8,0.0,0.0,n/a,0.0,0.0,0.0,1.0,6733.1,0.0,False,-382.75,True
NVDA,ema_cross,2023-01-13,16.260854109710635,2023-10-02,43.99922560403734,ema_cross,True,12.2,15.45,0.708,bs_hv,5.04,28.73,0.685,3.2,6656.01,6656.01,True,53693.27,True
V,rsi_macd,2023-03-06,218.89352543770676,2023-06-09,219.03625315798888,ema_cross,True,0.8,207.95,0.209,bs_hv,28.58,25.15,0.706,7.7,5321.26,0.0,False,-643.53,True
INTC,rsi_macd,2023-05-01,30.36418138613861,2023-05-26,26.891862344827587,ema_cross,True,27.3,28.85,0.449,bs_hv,6.58,4.25,0.666,4.6,5851.26,0.0,False,-2077.28,True
GOOG,ema_cross,2023-07-14,124.1110416229117,2023-11-01,124.3193588461237,ema_cross,True,4.1,117.91,0.326,bs_hv,21.36,18.33,0.671,5.8,4592.73,0.0,False,-655.46,True
JNJ,rsi_macd,2023-07-21,154.96820056407546,2023-09-07,147.70306176341933,ema_cross,False,67.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,5050.17,0.0,False,-238.68,True
AVGO,rsi_macd,2023-08-22,84.55591423246356,2023-09-27,79.74557944442404,ema_cross,False,95.6,0.0,0.0,n/a,0.0,0.0,0.0,1.0,6058.58,0.0,False,-346.95,True
LLY,rsi_macd,2023-10-09,554.2630932279277,2024-08-06,779.6099888650748,ema_cross,False,100.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,21077.5,21077.5,True,12742.42,True
AAPL,rsi_macd,2024-01-19,187.38332862810609,2024-02-15,181.89459583378658,ema_cross,True,19.0,180.0,0.235,eodhd_real,28.46,20.95,0.716,6.6,16504.52,0.0,False,-4367.35,True
MU,rsi_macd,2024-02-23,85.90037180232558,2024-07-24,110.83694177548058,ema_cross,False,44.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,9712.58,9712.58,True,2971.95,True
SMCI,rsi_macd,2024-04-17,99.2008,2024-05-03,76.9999901622601,ema_cross,False,80.4,0.0,0.0,n/a,0.0,0.0,0.0,1.0,6795.7,0.0,False,-1522.96,True
BAC,ema_cross,2024-04-22,35.31386694937716,2024-08-09,36.642472100313476,ema_cross,True,22.3,35.0,0.276,eodhd_real,5.3,4.6,0.687,6.7,8152.66,0.0,False,-1083.84,True
QCOM,ema_cross,2024-05-03,174.5698710309508,2024-07-29,174.57345443349755,ema_cross,False,77.7,0.0,0.0,n/a,0.0,0.0,0.0,1.0,5842.2,1458.21,True,-197.62,True
AMZN,rsi_macd,2024-08-01,189.285,2025-03-03,213.352,ema_cross,True,15.6,180.0,0.344,eodhd_real,21.28,25.23,0.625,8.9,11799.73,11799.73,True,-3022.44,True
COST,rsi_macd,2024-08-09,831.903848385248,2025-01-17,923.9100722017832,ema_cross,False,53.9,0.0,0.0,n/a,0.0,0.0,0.0,1.0,21241.07,0.0,False,2339.77,True
WMT,rsi_macd,2024-08-13,67.43915609863498,2025-03-13,84.13462807100592,ema_cross,False,80.7,0.0,0.0,n/a,0.0,0.0,0.0,1.0,23361.78,6995.46,True,6329.67,True
TSLA,ema_cross,2024-09-06,232.6,2025-02-18,355.01,ema_cross,False,100.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,28026.66,11766.52,True,12756.21,True
JPM,rsi_macd,2025-03-03,258.6954861484153,2025-03-12,229.29833523475207,ema_cross,False,39.8,0.0,0.0,n/a,0.0,0.0,0.0,1.0,19499.12,0.0,False,-2222.72,True
UBER,ema_cross,2025-03-24,76.97,2025-04-08,69.31,ema_cross,False,71.8,0.0,0.0,n/a,0.0,0.0,0.0,1.0,21515.62,0.0,False,-2148.97,True
V,rsi_macd,2025-06-25,348.41597707524767,2025-08-01,342.10283082363344,ema_cross,False,100.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,21084.1,0.0,False,-390.32,True
MA,rsi_macd,2025-07-01,556.9911262854006,2025-07-17,551.4226070373104,ema_cross,False,98.8,0.0,0.0,n/a,0.0,0.0,0.0,1.0,22487.46,0.0,False,-233.72,True
PFE,rsi_macd,2025-08-06,23.85337985791893,2025-09-23,23.292804807293827,ema_cross,False,56.6,0.0,0.0,n/a,0.0,0.0,0.0,1.0,20955.81,0.0,False,-500.66,True
AAPL,ema_cross,2025-08-07,218.21598872880972,2026-01-14,259.24743933682106,ema_cross,True,21.1,205.0,0.274,eodhd_real,26.25,55.25,0.716,8.3,22350.63,20447.79,True,24004.85,True
MU,ema_cross,2025-08-12,124.57163953033267,2026-03-16,446.16,end_of_data,True,2.8,120.0,0.471,eodhd_real,20.7,321.88,0.659,6.0,24576.75,7356.32,True,416704.76,True
CSCO,rsi_macd,2025-08-27,67.5484551724138,2026-03-16,78.92,end_of_data,False,33.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,29472.44,29472.44,True,5025.88,True
TSLA,rsi_macd,2026-01-23,447.43,2026-01-30,425.35,ema_cross,True,3.4,425.06,0.533,bs_hv,110.68,95.33,0.669,4.0,26713.13,0.0,False,-3727.44,True
WFC,rsi_macd,2026-01-30,89.76876952149408,2026-02-23,88.17,ema_cross,True,10.6,85.0,0.307,eodhd_real,13.6,11.53,0.647,6.6,13417.78,0.0,False,-2053.64,True
GE,rsi_macd,2026-02-02,305.15542431408124,2026-03-16,303.77,end_of_data,False,45.9,0.0,0.0,n/a,0.0,0.0,0.0,1.0,16090.6,0.0,False,-79.46,True
GOOGL,rsi_macd,2026-02-23,318.8255823461427,2026-03-04,302.6769687988652,ema_cross,True,18.2,305.0,0.364,eodhd_real,49.55,41.9,0.624,6.4,12304.28,0.0,False,-1910.06,True
