symbol,signal,entry_ts,entry_px,exit_ts,exit_px,exit_reason,is_leaps,hv_rank,strike,iv,iv_source,entry_premium,exit_premium,delta_entry,leverage,alloc,pyr_alloc,pyramided,pnl,closed
AAPL,ema_cross,2016-12-12,26.08729729920565,2017-07-03,33.64446773519163,ema_cross,False,50.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2400.0,2400.0,True,984.32,True
GOOG,rsi_macd,2017-03-30,41.33568580877931,2017-08-14,45.75085700629695,ema_cross,True,6.8,39.27,0.145,bs_hv,4.53,7.58,0.759,9.1,1919.49,1051.11,True,858.93,True
GOOGL,ema_cross,2017-04-04,42.05247287612747,2017-08-11,45.806914860927435,ema_cross,True,3.0,39.95,0.14,bs_hv,4.53,7.03,0.765,9.3,2110.67,2110.67,True,204.7,True
META,ema_cross,2017-12-11,177.903875502681,2018-02-20,174.401368757457,ema_cross,False,80.6,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2807.77,0.0,False,-56.38,True
NVDA,ema_cross,2018-01-04,5.333946008708273,2018-04-09,5.3629844482614555,ema_cross,True,15.4,5.07,0.406,bs_hv,1.07,0.96,0.666,5.0,2994.65,2994.65,True,-1659.63,True
MU,ema_cross,2018-01-05,45.00887984716158,2018-02-06,39.56452780309936,ema_cross,False,98.4,0.0,0.0,n/a,0.0,0.0,0.0,1.0,3292.92,0.0,False,-399.48,True
NFLX,ema_cross,2018-04-12,30.9719,2018-08-03,34.775,ema_cross,False,100.0,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2382.98,2382.98,True,209.98,True
AAPL,ema_cross,2018-05-07,43.503798541801686,2018-11-07,48.744794470111934,ema_cross,False,94.8,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2541.6,2541.6,True,216.5,True
NVDA,ema_cross,2018-05-08,6.151899353035144,2018-10-16,5.942081218728389,ema_cross,False,63.7,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2795.35,2795.35,True,-574.88,True
MU,rsi_macd,2019-03-18,38.63764301943954,2019-05-15,36.97889481905754,ema_cross,False,67.2,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2352.07,0.0,False,-101.88,True
BAC,rsi_macd,2019-04-02,24.01242833391063,2019-05-24,23.557042122072392,ema_cross,False,58.1,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2508.62,0.0,False,-48.56,True
JPM,rsi_macd,2019-06-05,91.30460310542087,2019-08-15,87.73264614068441,ema_cross,False,57.4,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2321.59,0.0,False,-91.72,True
META,ema_cross,2019-06-19,185.54393748666524,2019-08-16,182.31931069678825,ema_cross,False,37.3,0.0,0.0,n/a,0.0,0.0,0.0,1.0,2476.12,0.0,False,-44.01,True
AMD,rsi_macd,2019-08-09,33.45,2019-09-11,30.38,ema_cross,True,25.2,31.78,0.708,bs_hv,10.38,7.94,0.685,3.2,2723.33,0.0,False,-643.45,True
AAPL,ema_cross,2019-08-14,48.82593629593095,2020-03-10,66.9641686058737,ema_cross,True,29.9,46.38,0.307,bs_hv,8.08,21.48,0.674,6.0,3265.82,3265.82,True,7494.54,True
