symbol,signal,entry_ts,entry_px,exit_ts,exit_px,exit_reason,return_pct,shares,alloc,pyramided,pyr_shares,pyr_alloc,pyr_px,total_shares,total_invested,pnl,cum_pnl,closed
AAPL,ema_cross,2016-12-12,26.08729729920565,2017-07-03,33.64446773519163,ema_cross,28.97,91.99879820716725,2400.0,True,72.10151893866563,2400.0,33.2864,164.1003171458329,4800.0,718.8593984174696,718.86,True
GOOGL,ema_cross,2017-04-04,42.05247287612747,2017-08-11,45.806914860927435,ema_cross,8.93,50.20227200761019,2111.1296819200006,False,0.0,0.0,,50.20227200761019,2111.1296819200006,187.5616732778491,906.42,True
GOOG,rsi_macd,2017-03-30,41.33568580877931,2017-08-14,45.75085700629695,ema_cross,10.68,46.436582880943014,1919.4880000000003,False,0.0,0.0,,46.436582880943014,1919.4880000000003,204.17565786178127,1110.6,True
MU,ema_cross,2018-01-05,45.00887984716158,2018-02-06,39.56452780309936,ema_cross,-12.1,68.32065628285501,3075.036209714246,False,0.0,0.0,,68.32065628285501,3075.036209714246,-373.04293448724565,737.55,True
META,ema_cross,2017-12-11,177.903875502681,2018-02-20,174.401368757457,ema_cross,-1.97,14.734996014504262,2621.412896496867,False,0.0,0.0,,14.734996014504262,2621.412896496867,-52.63734432107607,684.92,True
NVDA,ema_cross,2018-01-04,5.333946008708273,2018-04-09,5.3629844482614555,ema_cross,0.54,524.1699361641613,2795.894138887699,False,0.0,0.0,,524.1699361641613,2795.894138887699,14.096630920540374,699.01,True
NFLX,ema_cross,2018-04-12,30.9719,2018-08-03,34.775,ema_cross,12.28,81.95870383992275,2538.4167794597033,False,0.0,0.0,,81.95870383992275,2538.4167794597033,310.55710100319675,1009.57,True
NVDA,ema_cross,2018-05-08,6.151899353035144,2018-10-16,5.942081218728389,ema_cross,-3.41,484.0257991303871,2977.678000522547,False,0.0,0.0,,484.0257991303871,2977.678000522547,-102.70783837403104,906.86,True
AAPL,ema_cross,2018-05-07,43.503798541801686,2018-11-07,48.744794470111934,ema_cross,12.05,62.23304380418861,2707.373800300541,False,0.0,0.0,,62.23304380418861,2707.373800300541,324.949714412312,1231.81,True
MU,rsi_macd,2019-03-18,38.63764301943954,2019-05-15,36.97889481905754,ema_cross,-4.29,68.43892356609732,2644.318697381576,False,0.0,0.0,,68.43892356609732,2644.318697381576,-114.53525960377742,1117.28,True
BAC,rsi_macd,2019-04-02,24.01242833391063,2019-05-24,23.557042122072392,ema_cross,-1.9,117.4527003541911,2820.3245498792935,False,0.0,0.0,,117.4527003541911,2820.3245498792935,-54.59307556830506,1062.68,True
JPM,rsi_macd,2019-06-05,91.30460310542087,2019-08-15,87.73264614068441,ema_cross,-3.91,28.586246148770744,2610.0558588873787,False,0.0,0.0,,28.586246148770744,2610.0558588873787,-103.11201983391679,959.57,True
META,ema_cross,2019-06-19,185.54393748666524,2019-08-16,182.31931069678825,ema_cross,-1.74,15.00335292310474,2783.7811768549223,False,0.0,0.0,,15.00335292310474,2783.7811768549223,-49.47437415905546,910.1,True
AMD,rsi_macd,2019-08-09,33.45,2019-09-11,30.38,ema_cross,-9.18,91.53105798362085,3061.713889552118,False,0.0,0.0,,91.53105798362085,3061.713889552118,-282.11263342633356,627.98,True
V,rsi_macd,2019-09-27,168.727174137931,2019-10-01,165.2132033851627,ema_cross,-2.08,14.125607516041455,2383.3738391631937,False,0.0,0.0,,14.125607516041455,2383.3738391631937,-50.570466423448565,577.41,True
AAPL,ema_cross,2019-08-14,48.82593629593095,2020-03-10,66.9641686058737,ema_cross,37.15,75.22798737039254,3673.0769190178844,False,0.0,0.0,,75.22798737039254,3673.0769190178844,1362.4876792815578,1939.9,True
NFLX,rsi_macd,2020-10-30,50.20099999999999,2020-11-04,49.536,ema_cross,-1.32,65.06155999695618,3266.1553734071967,False,0.0,0.0,,65.06155999695618,3266.1553734071967,-44.55509317237914,1895.35,True
AMZN,rsi_macd,2020-09-23,156.02155200957642,2020-11-17,159.17725,ema_cross,2.02,19.03367881255102,2969.664108786002,False,0.0,0.0,,19.03367881255102,2969.664108786002,58.85265051882839,1954.2,True
AMD,rsi_macd,2020-09-22,78.365,2021-02-24,84.33,ema_cross,7.61,35.53038391935764,2784.338535840461,True,30.41995559751405,2784.338535840461,91.53,65.9503395168717,5568.677071680922,-9.30957707571555,1944.89,True
DIS,ema_cross,2020-11-10,136.7496361128703,2021-05-07,177.81264120320276,ema_cross,30.03,28.492460476295808,3896.3336020937904,True,7.264219194968803,1215.589355132643,167.3393,35.75667967126461,5111.922957226434,1243.5234999167913,3188.41,True
PYPL,ema_cross,2021-04-09,261.5814554635079,2021-05-14,242.72127745259655,ema_cross,-7.21,3.5320109052705666,923.908553313657,False,0.0,0.0,,3.5320109052705666,923.908553313657,-66.95727208944456,3121.46,True
AAL,rsi_macd,2021-04-27,22.01,2021-07-01,21.47,ema_cross,-2.45,50.35868301859736,1108.394613239328,False,0.0,0.0,,50.35868301859736,1108.394613239328,-27.626169199806387,3093.83,True
ADBE,ema_cross,2021-05-26,506.27,2021-10-04,574.59,ema_cross,13.49,7.098557800088919,3593.786857451017,False,0.0,0.0,,7.098557800088919,3593.786857451017,483.3419647715339,3577.17,True
MSFT,ema_cross,2020-11-06,212.2260120954765,2022-01-14,293.7166923758865,ema_cross,38.4,15.303547002604802,3247.8107512785,True,13.229193869404199,3247.8107512785,245.5033,28.532740872009,6495.621502557,1881.5685538784144,5458.74,True
NVDA,rsi_macd,2021-05-21,15.125668042423333,2022-01-20,25.253706335403727,ema_cross,66.96,198.0488534543332,2995.6212135327896,True,105.7380081442959,2995.6212135327896,28.3306,303.7868615986291,5991.242427065579,1677.4330666235903,7136.17,True
AMD,rsi_macd,2021-12-16,147.0,2022-01-21,120.14,ema_cross,-18.27,8.321325180581344,1223.2348015454575,False,0.0,0.0,,8.321325180581344,1223.2348015454575,-223.91068395329282,6912.26,True
QCOM,rsi_macd,2022-02-01,160.31555750014113,2022-02-22,149.06693942974263,ema_cross,-7.02,31.85357219417669,5106.623184680429,False,0.0,0.0,,31.85357219417669,5106.623184680429,-360.20799359691534,6552.05,True
BAC,rsi_macd,2021-12-17,39.97069507748405,2022-03-01,39.26119270072993,ema_cross,-1.78,36.714155805229126,1467.4903267180543,False,0.0,0.0,,36.714155805229126,1467.4903267180543,-26.625357422696762,6525.43,True
