entry_date,exit_date,ticker,trade_type,entry_price,exit_price,strike,position_eur,units,pnl_eur,pnl_pct,bars_held,max_r_mult,exit_reason
2016-11-11,2017-03-02,EMR,stock,44.21,48.39,,816.0,18.4621,77.17,9.45,74,3.6,trailing_stop
2016-11-11,2017-03-21,XLI,stock,51.78,55.5,,816.0,15.7653,58.78,7.2,87,4.0,trailing_stop
2016-11-11,2017-03-21,DIA,stock,156.8,173.89,,816.0,5.2057,88.97,10.9,87,6.55,trailing_stop
2016-11-25,2016-12-14,PICK,stock,18.7,18.7,,816.0,43.6564,-0.0,-0.0,13,0.71,trailing_stop
2016-11-28,2017-01-18,7203.T,stock,1015.75,1015.75,,812.0,0.7995,-0.0,-0.0,33,1.44,trailing_stop
2016-12-01,2016-12-14,ITX.MC,stock,24.2,24.2,,812.0,33.5525,-0.0,-0.0,9,0.8,trailing_stop
2016-12-02,2017-01-31,ENI.MI,option_eu,0.71,0.77,7.28,1137.0,16.07,103.92,9.14,41,1.26,dte_exit
2016-12-07,2017-01-19,GS,stock,189.88,189.88,,833.0,4.3892,-0.0,-0.0,28,1.73,trailing_stop
2016-12-14,2017-01-09,COP,stock,39.15,37.16,,833.0,21.2863,-42.46,-5.1,16,0.0,trailing_stop
2016-12-14,2017-05-11,TEF.MC,stock,4.54,5.35,,833.0,183.3804,147.59,17.71,102,6.93,trailing_stop
2016-12-15,2017-02-06,EWG,stock,20.83,21.82,,833.0,40.003,39.47,4.74,34,3.17,trailing_stop
2016-12-20,2017-01-04,NVDA,stock,2.58,2.57,,915.0,354.7668,-3.24,-0.35,9,1.68,trailing_stop
2017-01-05,2017-01-19,BP,stock,22.62,21.78,,914.0,40.4128,-34.05,-3.72,9,0.0,trailing_stop
2017-01-09,2017-01-23,BAMI.MI,stock,2.0,1.9,,910.0,455.2853,-46.36,-5.1,10,0.0,trailing_stop
2017-01-18,2017-02-24,ASML,stock,111.67,111.31,,910.0,8.1487,-2.98,-0.33,26,2.1,trailing_stop
2017-01-19,2017-03-10,CORN,stock,19.4,18.96,,907.0,46.7329,-20.62,-2.27,35,1.39,trailing_stop
2017-01-19,2017-05-03,CHTR,stock,303.23,329.92,,907.0,2.9897,79.77,8.8,72,3.73,trailing_stop
2017-01-23,2017-04-04,AVGO,option_us,1.32,3.02,14.08,1263.0,9.56,1621.72,128.43,50,1.69,dte_exit
2017-01-31,2017-02-13,9984.T,stock,1028.89,1028.89,,912.0,0.8867,-0.0,-0.0,9,0.25,trailing_stop
2017-02-06,2017-03-03,AMD,stock,12.47,12.99,,916.0,73.4652,37.7,4.11,18,2.27,trailing_stop
2017-02-13,2017-02-24,SAN.PA,stock,56.16,56.16,,916.0,16.3154,-0.0,-0.0,9,0.51,trailing_stop
2017-02-24,2017-05-02,ERIC-B.ST,option_eu,4.83,3.46,43.99,1282.0,2.66,-362.96,-28.3,44,0.0,dte_exit
2017-02-24,2017-05-02,META,option_us,9.67,25.43,126.57,1282.0,1.33,2091.48,163.09,46,1.63,dte_exit
2017-03-03,2017-03-21,CRM,stock,81.1,81.1,,927.0,11.4367,-0.0,-0.0,12,0.58,trailing_stop
2017-03-03,2017-06-12,SAP,stock,81.97,92.4,,927.0,11.3147,117.96,12.72,69,10.0,trailing_stop
2017-03-10,2017-06-06,ENEL.MI,option_eu,0.21,0.48,2.45,1296.0,60.34,1602.19,123.67,59,1.33,dte_exit
2017-03-21,2017-04-04,SCMN.SW,stock,311.5,311.49,,940.0,3.0183,-0.0,-0.0,10,0.31,trailing_stop
2017-03-21,2017-04-18,DGE.L,stock,2331.13,2241.36,,940.0,0.4033,-36.21,-3.85,18,0.0,trailing_stop
2017-03-21,2017-07-04,0700.HK,stock,201.52,238.1,,940.0,4.6656,170.7,18.16,69,8.18,trailing_stop
2017-04-04,2017-04-19,DTE.DE,stock,11.76,11.37,,1102.0,93.7577,-36.63,-3.32,9,0.0,trailing_stop
2017-04-04,2017-06-12,EQIX,stock,339.1,357.96,,1102.0,3.2508,61.3,5.56,47,3.17,trailing_stop
2017-04-19,2017-05-02,PPLT,stock,93.82,90.04,,1095.0,11.6717,-44.14,-4.03,9,0.0,trailing_stop
2017-04-24,2017-07-05,SBUX,option_us,3.42,1.16,47.69,1533.0,4.49,-1011.02,-65.95,50,0.77,dte_exit
2017-05-02,2017-05-15,SAND.ST,stock,114.57,108.73,,1264.0,11.0285,-64.38,-5.09,9,0.0,trailing_stop
2017-05-02,2017-06-21,LLOY.L,stock,69.51,65.97,,1264.0,18.1779,-64.38,-5.1,35,0.86,trailing_stop
2017-05-02,2017-07-05,AMZN,option_us,3.51,3.95,44.97,1769.0,5.04,219.83,12.43,44,0.69,dte_exit
2017-05-03,2017-07-04,UBSG.SW,option_eu,1.07,0.52,11.93,1780.0,16.71,-912.58,-51.27,42,0.05,dte_exit
2017-05-12,2017-05-25,AD.AS,stock,14.79,14.79,,1286.0,86.9547,-0.0,-0.0,9,0.51,trailing_stop
2017-05-16,2017-06-12,SCMN.SW,stock,325.2,325.2,,1280.0,3.9355,-0.0,-0.0,17,0.99,trailing_stop
2017-05-26,2017-06-29,EXC,stock,18.97,18.97,,1280.0,67.4636,-0.0,-0.0,23,1.14,trailing_stop
2017-06-06,2017-06-28,MSFT,stock,65.73,62.43,,1440.0,21.9087,-72.25,-5.02,16,0.01,trailing_stop
2017-06-13,2017-06-26,MPC,stock,41.64,39.52,,1458.0,35.0145,-74.28,-5.1,9,0.0,trailing_stop
2017-06-13,2017-07-18,SAND.ST,stock,110.57,104.94,,1458.0,13.1854,-74.28,-5.09,25,0.19,trailing_stop
2017-06-13,2017-10-13,C,stock,48.98,54.51,,1458.0,29.7681,164.76,11.3,86,4.89,trailing_stop
